frame_num,bbox,class,id
55,[175.94797872 198.32738001 241.42072829 311.16016988],chair,3
55,[ 79.27663947 133.63732194 137.26157281 236.14891912],person,4
55,[296.38546767  65.34766214 333.82754659 149.31402207],person,6
55,[324.66878003  61.90185946 361.34033749 144.59316028],person,8
55,[404.59742358  58.02636582 446.41427386 102.22562921],person,9
55,[245.73666576 156.91242622 330.09537444 242.29410168],dining table,11
56,[236.78438816  58.17886013 269.19215783 141.01202644],person,1
56,[251.67267498 158.65166054 326.61165966 237.51626799],chair,2
56,[176.97862704 199.39655685 240.80648498 309.17257985],chair,3
56,[ 78.05571899 132.54743615 137.48357944 237.43667985],person,4
56,[294.89321078  66.50777015 330.78916694 148.61144319],person,6
